"% Correct",""
"Generating CSV","Создание CSV"
"Group","Группа"
"Group Created Succesfully","Группа успешно создана"
"Group Details","Подробности группы"
"Group Name","Название группы"
"Grouping Report","Группировочный отчёт"
"Help","Помощь"
"Home",""
"Incomplete",""
"Item Listing","Создание перечня элементов"
"Item Not Found","Элемент не найден"
"Item Title","Название элемента"
"January",""
"July",""
"June",""
"LAST ATTEMPTED","ПОСЛЕДНЯЯ ПОПЫТКА (была)"
"LOGIN","ЛОГИН (вход)"
"Last Name","Фамилия"
"Last Successful Sync Timestamp","Время последней успешной синхронизации"
"Last attempted cannot be before an item marked.","Последняя попытка не может быть до отметки элемента."
"Latitude","Широта"
"Loading","Загрузка"
"Login","Логин (вход)"
"Login Unsuccesful","Неудачный вход (логин)"
"Logout","Выход"
"Longitude","Длина/ продолжительность"
"MARK","ОТМЕТКА/ ОТМЕТЬТЕ"
"Manage Groups","Управлять группы"
"Manage Profile","Управлять профиль"
"Manage Users","Управлять пользователей"
"March",""
"May",""
"Meters","Метр"
"Month",""
"My Forms","Мои анкеты"
"Name","ФИО"
"New Case",""
"New Form","Новая анкета"
"New Group","Новая группа"
"New Item","Новый элемент"
"New Password","Новый пароль"
"Next",""
"No Data for","Нет данных о"
"No Forms Currently Defined","Нет форм- определенных в настоящее время"
"No Update","Нет обновлений"
"November",""
"Number of responses not uploaded",""
"Number of responses uploaded",""
"Observations","Наблюдения"
"October",""
"Online Sync",""
"Online Sync is used when there is a reliable Internet connection. If you have no Internet connection, use the P2P tab above to transfer records between nearby devices.",""
"Open","Откройте"
"Open a Case",""
"Opened",""
"Participant ID",""
"Password","Пароль"
"Password Reset Unsuccesful","Неудачная замена пароля"
"Passwords do not match","Пароли не соответствуют"
"Percentage Complete","Процент завершения"
"Percentage uploaded:",""
"Percentile","Процент"
"Permission Denied.","Отказ разрешения."
"Permission Denied. Login to Continue","Отказ разрешения. Войдите для продолжения"
"Pick a","Выбирайте..."
"Please enter a valid email address","Пожалуйста, вводите правильный адрес эл-почты"
"Press the Start button below to transfer records to the server.",""
"Prev",""
"Progress","Ход"
"Projects","Проекты"
"RECOVER ACCOUNT","ВОЗОБНОВИТЕ ЯЧЕЙКУ"
"REGISTER","РЕГИСТРИРУЙТЕСЬ"
"RESET","ПЕРЕУСТАНОВИТЕ"
"RESET PASSWORD","ПЕРЕУСТАНОИТЕ ПАРОЛЬ"
"REVIEW",""
"Ready",""
"Release APK to Production","Пустите APK в производство"
"Release APK to QA","Пустите APK в QA"
"Release PWA to Production","Пустите PWA в производство"
"Release PWA to QA","Пустите PWA в QA"
"Reports","Отчеты"
"Response","Ответьте"
"SCHEDULE VIEW",""
"SEARCH VIEW",""
"START","НАЧНИТЕ/ НАЧАЛО"
"STOP","ОСТАНОВИТЕСЬ/ ОСТАНОВКА"
"SYNC DATA FOR ALL USERS","СИНХРОНИЗИРУЙТЕ ДАННЫЕ ДЛЯ ВСЕХ ПОЛЬЗОВАТЕЛЕЙ"
"Save","Сохраните"
"Save before switching or your changes will be deleted.","Сохраните перед переходом/ выключением, или ваши изменения будут потеряны."
"Scan Code",""
"School","Школа"
"Score","Оценка"
"Screening ID",""
"Search cases",""
"Searching","идёт поиск"
"Searching...",""
"Select Form Name","Выбирайте название анкеты"
"Select Report","Выберите отчет"
"Select one or more","Выбирайте одно или более..."
"Select only one","Выбирайте только одно"
"Select the appropriate case type from the options listed below",""
"Select your Username","Выбирайте ваше имя пользователя"
"September",""
"Settings",""
"Start",""
"Start Time","Время начала"
"Status","Статус"
"Status.Concerning",""
"Status.Good",""
"Status.Great",""
"Status.Poor",""
"Student","Ученик"
"Student Dashboard",""
"Student Grouping","Группировка учеников"
"Student Subtest Report","Промежуточный отчёт"
"Students Assessed","Оценка успеваемости учащихся"
"Students to watch","Студенты"
"SubTask Report","Отчет по подзадаче"
"Submit",""
"Subtask","Подзадача"
"Subtest Name",""
"Subtest Report",""
"Summary","общая информация"
"Support","Поддержка"
"Switch Editor","Включите редактирование"
"Sync","Синхронизируйте"
"Sync Successful","Сихронизация прошла успешно"
"Sync Unsuccessful. Please Retry","Провал синхронизации. Пожалуйста. Повторите"
"Syncing Status By User","Состояние сихронизации пользователем"
"Syncing Status Summary","Информация о статусе синхронизации"
"Tangerine","Планшет"
"Tap any boxes that were incorrect during the test.","Коснитесь/ Отметьте все ячейки, которые были неправильны во время теста"
"Tap items to mark them incorrect.","Коснитесь элементов, чтобы отметить их как неправильные"
"Tap the item last attempted.","Коснитесь эелемента последней вашей попытки"
"Task Report","Отчет  о выполнении задач"
"The app will now check for an application update and attempt to download. Please stay connected to the Internet during this process. Tap OK to proceed.","Программ начнёт проверку обновления и попытается загрузить его. Пожалуйста, оставайтесь в интернете во время этого процесса. Нажмите 'ОК' для продолжения."
"The date cannot be in the future. Please enter a date that is on or before today.",""
"The date is missing. Please enter a valid date.",""
"The date is not valid. Please enter a valid date.",""
"The form is not yet complete. Are you sure you would like to exit the form?","Анкета ешё не полная. Вы уверены что хотите покинуть анкету?"
"There is unsaved data. Are you sure you would like to exit the form?","Имеются несохраненные данные. Вы уверены что хотите покинуть анкету?"
"This Field is Required","Это поле обязательно к заполнению"
"Tips","Подсказки"
"Today",""
"Total","Всего/ общее количество"
"Total Docs Uploaded","Всего загруженных документов"
"Total Docs not Uploaded","Всего незагруженных документов"
"Total Percentage Complete","Общий процент завершения"
"Total Updates Applied","Всего внесенных обновлений"
"Totals",""
"Try moving outside with a clear view of the sky","Попробуйте выйти на улицу с ясным видом на небо"
"Try standing away from trees or buildings","Старайтесь держаться подальше от деревьев или зданий"
"Try standing next to a window","Попробуйте встать у окна"
"Unable to check for update. Make sure you are connected to the Internet and try again.",""
"Unassigned Category",""
"Unknown",""
"Update App","Обновляйте приложение"
"Update is Running. Please Wait ...","Идет обновление, пожалуйста, подождите..."
"Updating...",""
"User Added to Group Successfully","Пользователь успешно добавлен в группу"
"User Created Succesfully","Пользователь успешно создан"
"User Removed from Group Successfully","Пользователь успешно удален из группы"
"Username","Имя пользователя"
"Username Available","Есть имя пользователя"
"Username Unavailable","Нет имени пользователя"
"View your PWA","Просмотр вашего PWA"
"Visits","Посещения"
"Write Failed","Не удалось записать"
"Year",""
"You do not have access to the resource.","У вас нет доступа к данному ресурсу."
"You have not started this event",""
"You have not started this form",""
"You may not mark an item incorrect that is beyond the last item attempted.","Вам не нужно пометить элемент, который стоит за элементом последней попытки, как неправильный."
"You may proceed.","Можете продолжать."
"Your APK is building...","Создаётся ваш APK..."
"Your PWA is building...","Создаётся ваш PWA..."
"accept",""
"back","Назад"
"cancel",""
"clear",""
"close","Закройте"
"continue",""
"events",""
"here","Здесь/ сюда"
"latitude","широта"
"loading","загрузка"
"longitude","Длина/ продолжительность"
"manifest",""
"new case",""
"next","Далее"
"no, stop","нет"
"open","Откройте"
"open cases",""
"response","Ответьте"
"save","Сохраните"
"scan",""
"searching","идёт поиск"
"start another",""
"start event",""
"start form",""
"submit","Сдайте/предоставьте"
"summary","общая информация"
"yes, continue","да"
"✓ Yay! You are up to date.","✓ Есть! Ваши обновления приняты."
